component;property;de;en;Dev-status
SHOGun.admin.view.viewport.Viewport;config.data.i18n.logoutTitle;Ausloggen;Log out; -
SHOGun.admin.view.viewport.Viewport;config.data.i18n.logoutMessage;Wollen Sie sich wirklich ausloggen;Are you sure you want to log out?; -
SHOGun.admin.view.button.translation.ToEnglish;config.data.tooltipEn;EN;EN;OK
SHOGun.admin.view.button.translation.ToEnglish;config.data.setLanguageCallbackToastText;Applikationssprache ist jetzt {0};Application language is now {0};OK
SHOGun.admin.view.button.translation.ToGerman;config.data.tooltipDe;DE;DE;OK
SHOGun.admin.view.button.translation.ToGerman;config.data.setLanguageCallbackToastText;Applikationssprache ist jetzt {0};Application language is now {0};OK
SHOGun.admin.view.button.translation.ToMongolian;config.data.tooltipMn;MN;MN;OK
SHOGun.admin.view.button.translation.ToMongolian;config.data.setLanguageCallbackToastText;Applikationssprache ist jetzt {0};Application language is now {0};OK
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelPermissionGridDescription;Setzen Sie die gewünschten Berechtigungen pro Gruppe.<br>Ihre Anfrage wird anschließend von einem privilligiertem Adminstrator bearbeitet.<br>Sobald die Berechtigungen für Sie freigschaltet worden sind, werden Sie per Email benachrichtigt;Check the roles you want to use in a specific group.<br>The changes you request will be on hold until a priviliged Sub-Admin has approved these.<br>You will get notified via email when your request is approved or declined.; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelTitle;Profileinstellungen;Edit your Profile; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelActionSuccess;Ok;Success; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelActionFailure;Fehler;Error; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelDeleteUser;Account löschen;Delete Account; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelDeleteUserText;Wollen Sie wirklich Ihren gesamten Account löschen?;Do you really want to delete your complete account?; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelDeletionSuccessText;Ihr Account wurde gelöscht. Sie werden nun zum Login weitergeleitet;Your account has been deleted, you will now be redirected to the login page'; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelDeletionFailureText;Ihr Account konnte nicht gelöscht werden. Bitte kontaktieren Sie einen Administrator;Your account could not be deleted! Please contact an administrator to get your account deleted; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelSaveUser;Speichern;Save; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelFirstNameLabel;Vorname;First name; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelLastNameLabel;Nachname;Last name; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelEmailLabel;Email;Email Address; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelDepartmentLabel;Organisation;Department; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelTelephoneLabel;Telefonnummer;Telephone number; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelLanguageLabel;Sprache;Language; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelProfileImageLabel;Profilbild;Avatar; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelSelectImageText;Bild wählen...;Select an image...; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelPictureDeletedSuccessMsgText;Bild gelöscht;Picture deleted; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelPictureDeletedSuccessMsgTitle;Ok;Success; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelGraphicPoolWindowTitle;Bild auswählen oder hochladen;Select or upload an image; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelEditDetailsTitle;Ändern Sie ihre Angaben;Change your details; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelEditPermissionsTitle;Ändern Sie ihre Berechtigungen;Change your permissions; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelUpdateSuccessText;Ihre Änderungen wurden gespeichert. Wenn Sie Änderungen an Berechtigungen beantragt haben werden Sie informiert, sobald diese durchgeführt wurden;Your details have been updated. When you have also changed your permissions, you will be notified via email when a priviliged administrator approved or declined them.; -
SHOGun.admin.view.panel.ProfilePanel;config.data.i18n.profilepanelUpdateFailureText;Änderungen konnten nicht gespeichert werden;Your details could not be updated; -
SHOGun.admin.view.grid.UserPermissionGrid;config.data.i18n.userPermissionGridPanelGroupColumnName;Gruppe;Group; -
SHOGun.admin.view.grid.UserPermissionGrid;config.data.i18n.userPermissionGridPanelSubadminColumnName;Sub-admin;Sub-admin; -
SHOGun.admin.view.grid.UserPermissionGrid;config.data.i18n.userPermissionGridPanelEditorColumnName;Editor;Editor; -
SHOGun.admin.view.grid.UserPermissionGrid;config.data.i18n.userPermissionGridPanelUserColumnName;Benutzer;User; -
SHOGun.admin.view.grid.UserList;config.data.i18n.actionSuccess;Ok;Success; -
SHOGun.admin.view.grid.UserList;config.data.i18n.actionFailure;Fehler;Error; -
SHOGun.admin.view.grid.UserList;config.data.i18n.deleteUser;Account löschen;Delete Account; -
SHOGun.admin.view.grid.UserList;config.data.i18n.deleteUserText;Wollen Sie wirklich die markierten Benutzer löschen?;'Do you really want to delete the selected users?; -
SHOGun.admin.view.grid.UserList;config.data.i18n.deletionSuccessText;Account erfolgreich gelöscht;Account has been successfully deleted; -
SHOGun.admin.view.grid.UserList;config.data.i18n.deletionFailureText;Account konnte nicht gelöscht werden;Account could not be deleted; -
SHOGun.admin.view.grid.UserList;config.data.i18n.userlistFirstNameLabel;Vorname;First name; -
SHOGun.admin.view.grid.UserList;config.data.i18n.userlistLastNameLabel;Nachname;Last name; -
SHOGun.admin.view.grid.UserList;config.data.i18n.userlistEmailLabel;Email;Email Address; -
SHOGun.admin.view.grid.UserList;config.data.i18n.userlistDepartmentLabel;Organisation;Department; -
SHOGun.admin.view.grid.UserList;config.data.i18n.userlistTelephoneLabel;Telefonnummer;Telephone number; -
SHOGun.admin.view.grid.ApplicationList;config.data.i18n.applicationsTitle;Alle Applikationen;All applications; -
SHOGun.admin.view.grid.ApplicationList;config.data.i18n.applicationsCreateApp;Erstellen;Create; -
SHOGun.admin.view.grid.ApplicationList;config.data.i18n.applicationsCopyApp;Kopieren;Copy; -
SHOGun.admin.view.grid.ApplicationList;config.data.i18n.applicationsDeleteApp;Löschen;Delete; -
SHOGun.admin.view.grid.ApplicationList;config.data.i18n.applicationsFilterByName;Filtern über Name;Filter by name; -
SHOGun.admin.view.grid.ApplicationList;config.data.i18n.applicationsRefreshText;Aktualisieren;Refresh; -
SHOGun.admin.view.grid.ApplicationList;config.data.i18n.applicationsSettings;Einstellungen;Settings; -
SHOGun.admin.view.grid.ApplicationList;config.data.i18n.applicationsPreview;Öffnen;Open; -
SHOGun.admin.view.grid.ApplicationList;config.data.i18n.appCopyErrorMsgTitle;Fehler;Error; -
SHOGun.admin.view.grid.ApplicationList;config.data.i18n.appCopyPromptTitle;Nachfrage;Question; -
SHOGun.admin.view.grid.ApplicationList;config.data.i18n.appCopySelectAppsBeforeMsg;Bitte wählen Sie zunächst eine Applikation aus.;Please select a single application before!; -
SHOGun.admin.view.grid.ApplicationList;config.data.i18n.appCopyPromptMsg;Bitte geben Sie einen Namen der neuen Applikation ein.;Enter a new name for the application to be copied; -
SHOGun.admin.view.grid.ApplicationList;config.data.i18n.appCopiedSuccessfulMsg;Die Applikation wurde erfolgreich kopiert.;Application has been copied successfull; -
SHOGun.admin.view.grid.ApplicationList;config.data.i18n.appCopyErrorMsg;Die Applikation konnte nicht kopiert werden.;Could not copy the application.; -
SHOGun.admin.view.grid.ApplicationList;config.data.i18n.appDeletedMsg;Applikation gelöscht;Application deleted; -
SHOGun.admin.view.grid.ApplicationList;config.data.i18n.appDeletionErrorMsg;Löschen der Applikation ist fehlgeschlagen.;Deletion of application failed; -
SHOGun.admin.view.grid.EntityPermissions;config.data.i18n.usersColumnTitle;Benutzer;User; -
SHOGun.admin.view.grid.EntityPermissions;config.data.i18n.groupsColumnTitle;Gruppe;Group; -
SHOGun.admin.view.grid.EntityPermissions;config.data.i18n.readPermissionColumnTitle;Lesen;Read; -
SHOGun.admin.view.grid.EntityPermissions;config.data.i18n.updatePermissionColumnTitle;Ändern;Update; -
SHOGun.admin.view.grid.EntityPermissions;config.data.i18n.deletePermissionColumnTitle;Löschen;Delete; -
SHOGun.admin.view.grid.EntityPermissions;config.data.i18n.permissionsUpdatesSuccessTitle;Ok;Success; -
SHOGun.admin.view.grid.EntityPermissions;config.data.i18n.permissionsUpdatesSuccessText;Berechtigungen aktualisiert;Permissions updated; -
SHOGun.admin.view.grid.EntityPermissions;config.data.i18n.permissionsUpdatesFailureTitle;Fehler;Failure; -
SHOGun.admin.view.grid.EntityPermissions;config.data.i18n.permissionsUpdatesFailureText;Berechtigungen konnten nicht aktualisiert werden;Permissions failed to update; -
SHOGun.admin.view.grid.LayerList;config.data.layerlistTitle;Alle Layer;All layers; -
SHOGun.admin.view.grid.LayerList;config.data.layerlistCreateLayer;Erstellen;Create; -
SHOGun.admin.view.grid.LayerList;config.data.layerlistDeleteLayer;Löschen;Delete; -
SHOGun.admin.view.grid.LayerList;config.data.layerlistFilterByName;Filtern über Name;Filter by name; -
SHOGun.admin.view.grid.LayerList;config.data.layerlistRefreshText;Aktualisieren;Refresh; -
SHOGun.admin.view.grid.LayerList;config.data.layerlistSettings;Layer Einstellungen;Layer settings; -
SHOGun.admin.view.grid.LayerList;config.data.layerlistStyle;Layer Stil-Einstellungen;Layer stylesettings; -
SHOGun.admin.view.grid.LayerList;config.data.layerlistDownload;Layer Download;Download layer; -
SHOGun.admin.view.grid.LayerList;config.data.layerlistPreview;Layervorschau;Preview Layer; -
SHOGun.admin.view.grid.LayerList;config.data.deletionErrorMsgTitle;Fehler;Error; -
SHOGun.admin.view.grid.LayerList;config.data.deletionErrorMsgText;Bitte wählen Sie zunächst mindestens einen Layer aus.;Please select a single layer before!; -
SHOGun.admin.view.grid.LayerList;config.data.deletionMsgTemplate;Layer {0} gelöscht.;Layer {0} deleted.; -
