component;property;de;en;Dev-status
SHOGun.client.view.button.AddWms;config.data.title;;; -
SHOGun.client.view.button.AddWms;config.data.tooltip;WMS hinzufügen;Add WMS; -
SHOGun.client.view.button.AddWms;config.data.windowTitle;WMS hinzufügen;Add WMS; -
SHOGun.client.view.button.ListDocuments;config.data.text;DMS;DMS;OK
SHOGun.client.view.button.ListDocuments;config.data.tooltip;Dokumentenmanagement;Document management system (DMS);OK
SHOGun.client.view.button.LoginLogout;config.data.loginBtnText;Login;Login; -
SHOGun.client.view.button.LoginLogout;config.data.logoutBtnText;Logout;Logout;OK
SHOGun.client.view.button.LoginLogout;config.data.logoutConfirmMsgText;Möchten Sie sich wirklich ausloggen?;Do you really want to log out?;OK
SHOGun.client.view.button.Print;config.data.tooltip;Karte drucken;Print map;OK
SHOGun.client.view.button.ShowMeasureToolsPanel;config.data.tooltip;Messwerkzeuge;Measurement tools;OK
SHOGun.client.view.button.ShowMetaPanel;config.data.tooltip;Metainformationen anzeigen;Show metadata;OK
SHOGun.client.view.button.ShowRedliningToolsPanel;config.data.tooltip;Zeichnen;Draw;OK
SHOGun.client.view.button.ShowWorkstateToolsPanel;config.data.tooltip;Arbeitsstand;Workstate;OK
SHOGun.client.view.button.StepBack;config.data.tooltip;Vorherige Ansicht;Previous View;OK
SHOGun.client.view.button.StepForward;config.data.tooltip;Nächste Ansicht;Next View;OK
SHOGun.client.view.button.translation.ToEnglish;config.data.tooltipEn;EN;EN;OK
SHOGun.client.view.button.translation.ToEnglish;config.data.setLanguageCallbackToastText;Applikationssprache ist jetzt {0};Application language is now {0};OK
SHOGun.client.view.button.translation.ToGerman;config.data.tooltipDe;DE;DE;OK
SHOGun.client.view.button.translation.ToGerman;config.data.setLanguageCallbackToastText;Applikationssprache ist jetzt {0};Application language is now {0};OK
SHOGun.client.view.button.translation.ToMongolian;config.data.tooltipMn;MN;MN;OK
SHOGun.client.view.button.translation.ToMongolian;config.data.setLanguageCallbackToastText;Applikationssprache ist jetzt {0};Application language is now {0};OK
SHOGun.client.view.button.ZoomToExtent;config.data.tooltip;Auf Gesamtansicht zoomen;Zoom to Extent;OK
SHOGun.client.view.container.MultiSearchSettings;config.data.title;Sucheinstellungen;Search Settings; -
SHOGun.client.view.container.MultiSearchSettings;config.data.generalSettingsLabel;Allgemeine Einstellungen;General Settings; -
SHOGun.client.view.container.MultiSearchSettings;config.data.limitCboxLabel;Auf den sichtbaren Kartenbereich einschränken;Limit to visible extent; -
SHOGun.client.view.container.MultiSearchSettings;config.data.gazetteerLabel;Gazetteer Suche verwenden;Use Gazetteer Search; -
SHOGun.client.view.container.MultiSearchSettings;config.data.objectSearchLabel;Object Suche verwenden;Use Object Search; -
SHOGun.client.view.container.MultiSearchSettings;config.data.objectSearchLayersLabel;Layer für Objektsuche;Layer for Object Search; -
SHOGun.client.view.container.MultiSearchSettings;config.data.saveBtnText;Sucheinstellungen speichern;Save search settings; -
SHOGun.client.view.form.field.MultiSearchCombo;config.data.emptyText;Suche ...;Search ...; -
