component;property;de;en;Dev-status
SHOGun.login.view.button.translation.ToEnglish;config.data.tooltipEn;EN;EN;OK
SHOGun.login.view.button.translation.ToEnglish;config.data.setLanguageCallbackToastText;Applikationssprache ist jetzt {0};Application language is now {0};OK
SHOGun.login.view.button.translation.ToGerman;config.data.tooltipDe;DE;DE;OK
SHOGun.login.view.button.translation.ToGerman;config.data.setLanguageCallbackToastText;Applikationssprache ist jetzt {0};Application language is now {0};OK
SHOGun.login.view.authentication.Login;config.data.loginTitle;SHOGun - Login;SHOGun - Login; -
SHOGun.login.view.authentication.Login;config.data.loginFormLabel;Loggen Sie sich ein;Sign into your account; -
SHOGun.login.view.authentication.Login;config.data.userNameEmptyText;Benutzername;Username; -
SHOGun.login.view.authentication.Login;config.data.passwordEmptyText;Passwort;Password; -
SHOGun.login.view.authentication.Login;config.data.forgotPasswordText;Passwort vergessen ?;Forgot Password ?; -
SHOGun.login.view.authentication.Login;config.data.loginBtnText;Einloggen;Login; -
SHOGun.login.view.authentication.Login;config.data.createAccountBtnText;Account erstellen;Create Account; -
SHOGun.login.view.authentication.PasswordReset;config.data.passwordResetTitle;SHOGun - Passwort zurücksetzen;SHOGun - Reset Password; -
SHOGun.login.view.authentication.PasswordReset;config.data.passwordResetDescription;Geben Sie ihre Email ein für weitere Instruktionen;Enter your email address for further reset instructions; -
SHOGun.login.view.authentication.PasswordReset;config.data.emailAddressEmptyText;Emailadresse;Email; -
SHOGun.login.view.authentication.PasswordReset;config.data.resetPasswordBtnText;Passwort zurücksetzen;Reset Password; -
SHOGun.login.view.authentication.PasswordReset;config.data.backToLoginText;Zurück zum Login;Back to Log In; -
SHOGun.login.view.authentication.PasswordChange;config.data.changePasswordTitle;SHOGun - Passwort ändern;SHOGun - Change Password; -
SHOGun.login.view.authentication.PasswordChange;config.data.newPasswordText;Geben Sie ein neues Passwort ein.;Enter your new password.; -
SHOGun.login.view.authentication.PasswordChange;config.data.passwordEmptyText;Passwort;Password; -
SHOGun.login.view.authentication.PasswordChange;config.data.confirmPasswordEmptyText;Passwort wiederholen;Confirm Password; -
SHOGun.login.view.authentication.PasswordChange;config.data.changePasswordBtnText;Passwort ändern;Change Password; -
